START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2/5/2016,2/5/2016,Business,Cary,Durham,10.4,Meeting
2/5/2016,2/5/2016,Business,Durham,Cary,10.4,Meeting
2/6/2016,2/6/2016,Business,Cary,Raleigh,11.4,Between Offices
2/6/2016,2/6/2016,Business,Raleigh,Cary,9,Errand/Supplies
2/6/2016,2/6/2016,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain
2/7/2016,2/7/2016,Business,Cary,Apex,5.6,Errand/Supplies
2/7/2016,2/7/2016,Business,Apex,Cary,5.7,Customer Visit
2/7/2016,2/7/2016,Business,Cary,Morrisville,6.1,Temporary Site
2/7/2016,2/7/2016,Business,Morrisville,Cary,6.1,Meeting
2/8/2016,2/8/2016,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain
2/8/2016,2/8/2016,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain
2/9/2016,2/9/2016,Personal,Whitebridge,Northwoods,5.3,
2/9/2016,2/9/2016,Personal,Northwoods,Tanglewood,3,
2/9/2016,2/9/2016,Personal,Tanglewood,Preston,5.1,
2/9/2016,2/9/2016,Personal,Preston,Whitebridge,1.5,
2/9/2016,2/9/2016,Business,Cary,Morrisville,6.1,
2/9/2016,2/9/2016,Business,Morrisville,Cary,6.1,Meal/Entertain
2/11/2016,2/11/2016,Business,Cary,Raleigh,17.3,Meal/Entertain
2/11/2016,2/11/2016,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain
2/11/2016,2/11/2016,Business,Raleigh,Morrisville,13.5,Temporary Site
2/11/2016,2/11/2016,Business,Morrisville,Cary,6.1,Temporary Site
2/12/2016,2/12/2016,Business,Cary,Durham,8.5,Temporary Site
2/12/2016,2/12/2016,Business,Durham,Morrisville,2.6,Temporary Site
2/12/2016,2/12/2016,Business,Morrisville,Raleigh,17,Customer Visit
2/12/2016,2/12/2016,Business,Raleigh,Cary,18,Meeting
2/12/2016,2/12/2016,Business,Cary,Morrisville,8.4,Meeting
2/12/2016,2/12/2016,Business,Morrisville,Cary,11.5,Customer Visit
2/13/2016,2/13/2016,Business,Cary,Morrisville,8.9,Meeting
2/13/2016,2/14/2016,Personal,East Elmhurst,Jackson Heights,2.7,
2/14/2016,2/14/2016,Personal,Jackson Heights,East Elmhurst,1.8,
2/14/2016,2/14/2016,Business,East Elmhurst,New York,8.1,Meeting
2/14/2016,2/14/2016,Business,Midtown,Midtown West,2,Meeting
2/14/2016,2/14/2016,Business,New York,Long Island City,13,Meeting
2/14/2016,2/14/2016,Business,Long Island City,Jamaica,13.9,Meeting
